0,1;0;7,43;7,53
0,5;0;9,05;9,55
0,1;1;14,4;15,5
0,75;0,25;12;13
0,25;1;16,5;17,75
0,45;0,1;13;13,55
0,45;0,3;10,63;11,38
0,75;1;13,3;15,05
0,5;1;14,2;15,7
0,75;0;12,7;13,45
0,65;1;12,4;14,05
0,1;0;8,8;8,9
0,75;0,5;14,25;15,5
0,75;0,45;12,4;13,6
0,95;0,45;13,9;15,3
0,95;0,65;10,75;12,35
0,25;0,6;14,5;15,35
0,5;0,2;11,43;12,13
0,1;0,05;3,05;3,2
0,1;0,75;12,95;13,8
0,5;1;14;15,5
0,1;0;9,68;9,78
0,05;0,15;8,8;9
0,1;0;10,4;10,5
0,1;0,5;7,65;8,25
0,45;0;11,88;12,33
0,5;0;0,25;0,75
0,05;0,3;5,95;6,3
0,75;0;9,73;10,48
0,1;0,75;9,63;10,48
0,25;0;10,93;11,18
0,25;0,2;12,1;12,55
0,95;0,5;15,6;17,05
0,1;0,9;14,7;15,7
0,45;0,2;8,75;9,4
0,5;0,5;10,55;11,55
0,1;0,35;8,2;8,65
0,95;0,9;14;15,85
0,1;0;12;12,1
0,75;0,3;12,95;14
0,1;0;8,33;8,43
1;0;10,85;11,85
0,1;0;7,6;7,7
0,95;0;8,8;9,75
0,5;0;11,7;12,2
0,5;0,75;11,4;12,65
0,5;0,15;12,35;13
0,95;0,5;16,3;17,75
0,1;0,15;9,35;9,6
0,1;0,1;9,5;9,7
0,5;0,2;10,7;11,4
0,1;0,65;16,4;17,15
0;0;0;0
0,75;0,2;12;12,95
0,1;0,05;12,35;12,5
0,1;0;13,45;13,55
0,45;0;10,35;10,8
0,1;0;7,25;7,35
0,05;0,25;4,5;4,8
0,1;0,6;4,6;5,3
0,1;0,6;5,08;5,78
0;0;5,48;5,48
1;0,45;12,1;13,55
0,9;0;13,5;14,4
0,5;0,2;9,6;10,3
1;0,5;13,7;15,2
0,1;0,4;12,95;13,45
0,5;0,75;15,6;16,85
0,5;0,75;13,9;15,15
0,5;0,15;10,78;11,43
0,1;0,75;11,28;12,13
0,95;0,5;11,75;13,2
0,75;0,4;17,4;18,55
0,5;0,6;13;14,1
0,75;0,6;10,2;11,55
0,25;0;8,1;8,35
0,5;0,55;11,4;12,45
1;0,75;15,3;17,05
0,95;0,95;15;16,9
0,45;0,75;8,9;10,1
0,5;0,5;13,7;14,7
1;1;18;20
0,15;0,25;4,9;5,3
0,95;0,5;15,4;16,85
1;1;16,2;18,2
0,9;0,7;12,38;13,98
1;0,4;15,6;17
0,15;0,55;10,9;11,6
0,5;1;15,6;17,1
0,15;0,1;9,15;9,4
0,5;1;15,5;17
1;0,9;17,4;19,3
